ts_utc,ts_nyt_epoch,open,high,low,close,volume
2025-09-15T09:30:00-04:00,1757943000,20.94,21.08,20.94,20.98,5864
2025-09-15T09:31:00-04:00,1757943060,20.969,21.05,20.95,21.05,1930
2025-09-15T09:32:00-04:00,1757943120,21.07,21.09,21.02,21.09,1982
2025-09-15T09:33:00-04:00,1757943180,21.12,21.15,21.12,21.15,5244
2025-09-15T09:34:00-04:00,1757943240,21.12,21.1455,21.12,21.1455,1025
2025-09-15T09:35:00-04:00,1757943300,21.13,21.1826,21.13,21.18,4221
2025-09-15T09:36:00-04:00,1757943360,21.15,21.17,21.14,21.15,3469
2025-09-15T09:37:00-04:00,1757943420,21.15,21.17,21.14,21.15,3613
2025-09-15T09:38:00-04:00,1757943480,21.13,21.14,21.12,21.13,4078
2025-09-15T09:39:00-04:00,1757943540,21.17,21.17,21.14,21.14,2803
2025-09-15T09:40:00-04:00,1757943600,21.13,21.1451,21.13,21.14,1090
2025-09-15T09:41:00-04:00,1757943660,21.16,21.16,21.13,21.13,2241
2025-09-15T09:42:00-04:00,1757943720,21.14,21.16,21.14,21.16,1312
2025-09-15T09:43:00-04:00,1757943780,21.2,21.25,21.2,21.23,2447
2025-09-15T09:44:00-04:00,1757943840,21.26,21.26,21.25,21.26,4576
2025-09-15T09:45:00-04:00,1757943900,21.24,21.27,21.16,21.16,4164
2025-09-15T09:46:00-04:00,1757943960,21.16,21.21,21.16,21.21,3046
2025-09-15T09:47:00-04:00,1757944020,21.21,21.21,21.17,21.17,5070
2025-09-15T09:48:00-04:00,1757944080,21.14,21.14,21.1045,21.12,3227
2025-09-15T09:49:00-04:00,1757944140,21.11,21.12,21.11,21.12,1900
2025-09-15T09:50:00-04:00,1757944200,21.1143,21.145,21.111,21.12,2869
2025-09-15T09:51:00-04:00,1757944260,21.18,21.195,21.18,21.19,964
2025-09-15T09:52:00-04:00,1757944320,21.19,21.2,21.19,21.2,700
2025-09-15T09:53:00-04:00,1757944380,21.16,21.16,21.15,21.15,910
2025-09-15T09:54:00-04:00,1757944440,21.14,21.14,21.14,21.14,1798
2025-09-15T09:55:00-04:00,1757944500,21.14,21.14,21.13,21.13,2263
2025-09-15T09:56:00-04:00,1757944560,21.12,21.14,21.12,21.13,2067
2025-09-15T09:57:00-04:00,1757944620,21.11,21.11,21.08,21.08,1080
2025-09-15T09:58:00-04:00,1757944680,21.07,21.07,21.0419,21.05,1315
2025-09-15T09:59:00-04:00,1757944740,21.06,21.06,21.06,21.06,449
2025-09-15T10:00:00-04:00,1757944800,21.08,21.1,21.08,21.1,2666
2025-09-15T10:01:00-04:00,1757944860,21.12,21.13,21.12,21.13,441
2025-09-15T10:02:00-04:00,1757944920,21.12,21.15,21.12,21.141,1498
2025-09-15T10:03:00-04:00,1757944980,21.16,21.16,21.16,21.16,300
2025-09-15T10:04:00-04:00,1757945040,21.17,21.17,21.17,21.17,317
2025-09-15T10:05:00-04:00,1757945100,21.1735,21.1735,21.15,21.15,2788
2025-09-15T10:06:00-04:00,1757945160,21.14,21.16,21.14,21.16,1598
2025-09-15T10:07:00-04:00,1757945220,21.15,21.15,21.15,21.15,2464
2025-09-15T10:10:00-04:00,1757945400,21.16,21.16,21.16,21.16,200
2025-09-15T10:13:00-04:00,1757945580,21.11,21.11,21.11,21.11,935
2025-09-15T10:16:00-04:00,1757945760,21.05,21.05,21.05,21.05,220
2025-09-15T10:20:00-04:00,1757946000,21.03,21.03,21.03,21.03,220
2025-09-15T10:21:00-04:00,1757946060,21.02,21.02,21.02,21.02,357
2025-09-15T10:22:00-04:00,1757946120,21.01,21.01,21.0,21.0,4683
2025-09-15T10:23:00-04:00,1757946180,21.0,21.0,20.99,20.99,4426
2025-09-15T10:24:00-04:00,1757946240,20.97,20.98,20.96,20.97,4089
2025-09-15T10:25:00-04:00,1757946300,20.975,20.975,20.975,20.975,512
2025-09-15T10:26:00-04:00,1757946360,20.98,20.99,20.97,20.97,3150
2025-09-15T10:27:00-04:00,1757946420,20.9735,20.9735,20.9735,20.9735,480
