ts_utc,ts_nyt_epoch,open,high,low,close,volume
2025-09-30T09:30:00-04:00,1759239000,662.93,663.21,662.87,662.99,553718.0
2025-09-30T09:31:00-04:00,1759239060,662.975,663.19,662.72,663.16,284095.0
2025-09-30T09:32:00-04:00,1759239120,663.17,663.17,662.8799,662.98,233268.0
2025-09-30T09:33:00-04:00,1759239180,662.98,663.03,662.63,662.6501,276534.0
2025-09-30T09:34:00-04:00,1759239240,662.66,662.71,662.39,662.45,289840.0
2025-09-30T09:35:00-04:00,1759239300,662.47,662.6,662.29,662.3817,271888.0
2025-09-30T09:36:00-04:00,1759239360,662.39,662.72,662.39,662.48,326292.0
2025-09-30T09:37:00-04:00,1759239420,662.5,662.61,662.241,662.4,244438.0
2025-09-30T09:38:00-04:00,1759239480,662.42,662.61,662.22,662.4344,166117.0
2025-09-30T09:39:00-04:00,1759239540,662.43,662.45,662.29,662.435,103784.0
2025-09-30T09:40:00-04:00,1759239600,662.44,662.82,662.4,662.69,180226.0
2025-09-30T09:41:00-04:00,1759239660,662.69,662.69,662.4509,662.61,193170.0
2025-09-30T09:42:00-04:00,1759239720,662.61,662.69,662.53,662.6191,219489.0
2025-09-30T09:43:00-04:00,1759239780,662.62,662.93,662.51,662.92,243916.0
2025-09-30T09:44:00-04:00,1759239840,662.91,663.0844,662.7801,663.07,195757.0
2025-09-30T09:45:00-04:00,1759239900,663.08,663.28,662.92,663.145,213989.0
2025-09-30T09:46:00-04:00,1759239960,663.14,663.21,663.03,663.07,168768.0
2025-09-30T09:47:00-04:00,1759240020,663.075,663.13,662.84,663.06,247232.0
2025-09-30T09:48:00-04:00,1759240080,663.055,663.1,662.845,662.89,170135.0
2025-09-30T09:49:00-04:00,1759240140,662.9,662.9345,662.47,662.71,360896.0
2025-09-30T09:50:00-04:00,1759240200,662.7,662.77,662.43,662.56,233016.0
2025-09-30T09:51:00-04:00,1759240260,662.56,662.6299,662.43,662.43,144571.0
2025-09-30T09:52:00-04:00,1759240320,662.44,662.69,662.34,662.66,162459.0
2025-09-30T09:53:00-04:00,1759240380,662.665,662.75,662.485,662.49,138959.0
2025-09-30T09:54:00-04:00,1759240440,662.48,662.58,662.09,662.165,364248.0
2025-09-30T09:55:00-04:00,1759240500,662.16,662.26,661.9693,662.235,227481.0
2025-09-30T09:56:00-04:00,1759240560,662.235,662.71,662.21,662.555,132920.0
2025-09-30T09:57:00-04:00,1759240620,662.54,662.755,662.385,662.75,157820.0
2025-09-30T09:58:00-04:00,1759240680,662.74,662.91,662.67,662.84,146119.0
2025-09-30T09:59:00-04:00,1759240740,662.81,663.13,662.79,663.08,122997.0
2025-09-30T10:00:00-04:00,1759240800,663.05,663.41,663.01,663.25,249870.0
2025-09-30T10:01:00-04:00,1759240860,663.28,663.28,663.05,663.18,178871.0
2025-09-30T10:02:00-04:00,1759240920,663.19,663.48,663.19,663.37,267552.0
2025-09-30T10:03:00-04:00,1759240980,663.38,663.5499,663.32,663.485,208807.0
2025-09-30T10:04:00-04:00,1759241040,663.47,663.5512,663.22,663.23,148141.0
2025-09-30T10:05:00-04:00,1759241100,663.245,663.275,662.76,662.9,291002.0
2025-09-30T10:06:00-04:00,1759241160,662.87,662.88,662.41,662.66,288413.0
2025-09-30T10:07:00-04:00,1759241220,662.67,662.85,662.62,662.76,135585.0
2025-09-30T10:08:00-04:00,1759241280,662.76,662.76,662.53,662.63,109670.0
2025-09-30T10:09:00-04:00,1759241340,662.63,662.63,662.4,662.46,217118.0
2025-09-30T10:10:00-04:00,1759241400,662.43,662.51,662.235,662.485,217701.0
2025-09-30T10:11:00-04:00,1759241460,662.49,662.68,662.2901,662.31,222574.0
2025-09-30T10:12:00-04:00,1759241520,662.3,662.54,662.3,662.49,152421.0
2025-09-30T10:13:00-04:00,1759241580,662.47,662.72,662.38,662.63,153758.0
2025-09-30T10:14:00-04:00,1759241640,662.635,662.775,662.55,662.688,107556.0
2025-09-30T10:15:00-04:00,1759241700,662.68,662.88,662.65,662.82,1015953.0
2025-09-30T10:16:00-04:00,1759241760,662.84,663.11,662.83,663.0507,124923.0
2025-09-30T10:17:00-04:00,1759241820,663.08,663.37,663.08,663.2576,147886.0
2025-09-30T10:18:00-04:00,1759241880,663.255,663.275,663.05,663.15,131759.0
2025-09-30T10:19:00-04:00,1759241940,663.16,663.19,662.85,662.95,149167.0
2025-09-30T10:20:00-04:00,1759242000,662.96,663.16,662.91,663.06,96129.0
2025-09-30T10:21:00-04:00,1759242060,663.06,663.2,662.995,663.11,87378.0
2025-09-30T10:22:00-04:00,1759242120,663.105,663.3525,663.0299,663.28,93304.0
2025-09-30T10:23:00-04:00,1759242180,663.27,663.31,662.92,663.02,95971.0
2025-09-30T10:24:00-04:00,1759242240,663.01,663.18,662.73,662.86,105082.0
2025-09-30T10:25:00-04:00,1759242300,662.85,662.93,662.76,662.84,184660.0
2025-09-30T10:26:00-04:00,1759242360,662.83,662.88,662.65,662.675,90073.0
2025-09-30T10:27:00-04:00,1759242420,662.69,663.0,662.638,662.86,126332.0
