ts_utc,ts_nyt_epoch,open,high,low,close,volume
2025-04-01T09:30:00-04:00,1743514200,29.0,29.03,28.68,28.68,226879.0
2025-04-01T09:31:00-04:00,1743514260,28.68,28.72,28.44,28.47,107939.0
2025-04-01T09:32:00-04:00,1743514320,28.46,28.71,28.42,28.609,97470.0
2025-04-01T09:33:00-04:00,1743514380,28.63,28.742,28.5299,28.5359,90005.0
2025-04-01T09:34:00-04:00,1743514440,28.55,28.59,28.48,28.53,38680.0
2025-04-01T09:35:00-04:00,1743514500,28.52,28.675,28.37,28.37,68073.0
2025-04-01T09:36:00-04:00,1743514560,28.38,28.44,28.31,28.32,143718.0
2025-04-01T09:37:00-04:00,1743514620,28.32,28.37,28.28,28.3399,86215.0
2025-04-01T09:38:00-04:00,1743514680,28.3,28.44,28.297,28.375,89168.0
2025-04-01T09:39:00-04:00,1743514740,28.375,28.51,28.32,28.51,33986.0
2025-04-01T09:40:00-04:00,1743514800,28.5193,28.6599,28.4899,28.6599,85686.0
2025-04-01T09:41:00-04:00,1743514860,28.6499,28.7,28.615,28.66,58268.0
2025-04-01T09:42:00-04:00,1743514920,28.6599,28.695,28.53,28.56,29527.0
2025-04-01T09:43:00-04:00,1743514980,28.56,28.61,28.48,28.61,33518.0
2025-04-01T09:44:00-04:00,1743515040,28.62,28.67,28.58,28.59,42033.0
2025-04-01T09:45:00-04:00,1743515100,28.59,28.65,28.55,28.57,12951.0
2025-04-01T09:46:00-04:00,1743515160,28.5682,28.66,28.53,28.585,35557.0
2025-04-01T09:47:00-04:00,1743515220,28.59,28.74,28.5899,28.7199,109010.0
2025-04-01T09:48:00-04:00,1743515280,28.71,28.88,28.71,28.835,56980.0
2025-04-01T09:49:00-04:00,1743515340,28.8304,28.9,28.8082,28.85,32445.0
2025-04-01T09:50:00-04:00,1743515400,28.85,28.88,28.78,28.86,22749.0
2025-04-01T09:51:00-04:00,1743515460,28.86,28.895,28.815,28.85,16543.0
2025-04-01T09:52:00-04:00,1743515520,28.85,28.86,28.75,28.795,9702.0
2025-04-01T09:53:00-04:00,1743515580,28.755,28.82,28.74,28.8,31117.0
2025-04-01T09:54:00-04:00,1743515640,28.785,28.85,28.785,28.82,19603.0
2025-04-01T09:55:00-04:00,1743515700,28.81,28.83,28.67,28.6802,58874.0
2025-04-01T09:56:00-04:00,1743515760,28.68,28.74,28.54,28.55,44090.0
2025-04-01T09:57:00-04:00,1743515820,28.55,28.63,28.54,28.59,77431.0
2025-04-01T09:58:00-04:00,1743515880,28.595,28.675,28.59,28.675,48494.0
2025-04-01T09:59:00-04:00,1743515940,28.665,28.7099,28.645,28.65,21550.0
2025-04-01T10:00:00-04:00,1743516000,28.6,28.65,28.38,28.54,154881.0
2025-04-01T10:01:00-04:00,1743516060,28.6,28.6,28.4,28.4,42210.0
2025-04-01T10:02:00-04:00,1743516120,28.39,28.46,28.36,28.46,34345.0
2025-04-01T10:03:00-04:00,1743516180,28.46,28.55,28.42,28.53,50536.0
2025-04-01T10:04:00-04:00,1743516240,28.525,28.58,28.37,28.38,21402.0
2025-04-01T10:05:00-04:00,1743516300,28.38,28.5,28.36,28.43,23582.0
2025-04-01T10:06:00-04:00,1743516360,28.44,28.47,28.32,28.33,25004.0
2025-04-01T10:07:00-04:00,1743516420,28.3251,28.3551,28.24,28.33,67692.0
2025-04-01T10:08:00-04:00,1743516480,28.3588,28.3588,28.2599,28.28,44791.0
2025-04-01T10:09:00-04:00,1743516540,28.32,28.345,28.28,28.33,20532.0
2025-04-01T10:10:00-04:00,1743516600,28.34,28.375,28.25,28.285,28621.0
2025-04-01T10:11:00-04:00,1743516660,28.26,28.295,28.235,28.2712,33065.0
2025-04-01T10:12:00-04:00,1743516720,28.2876,28.3,28.2,28.22,31691.0
2025-04-01T10:13:00-04:00,1743516780,28.21,28.23,28.1512,28.1512,49014.0
2025-04-01T10:14:00-04:00,1743516840,28.15,28.16,28.1219,28.1219,46130.0
2025-04-01T10:15:00-04:00,1743516900,28.14,28.24,28.115,28.115,38033.0
2025-04-01T10:16:00-04:00,1743516960,28.115,28.23,28.115,28.23,18846.0
2025-04-01T10:17:00-04:00,1743517020,28.21,28.25,28.1977,28.225,28556.0
2025-04-01T10:18:00-04:00,1743517080,28.19,28.23,28.13,28.145,9978.0
2025-04-01T10:19:00-04:00,1743517140,28.1354,28.1593,28.1,28.1,48520.0
2025-04-01T10:20:00-04:00,1743517200,28.1,28.13,28.03,28.04,50020.0
2025-04-01T10:21:00-04:00,1743517260,28.05,28.06,27.9801,28.05,70287.0
2025-04-01T10:22:00-04:00,1743517320,28.09,28.19,28.09,28.19,34970.0
2025-04-01T10:23:00-04:00,1743517380,28.2,28.268,28.1993,28.21,57754.0
2025-04-01T10:24:00-04:00,1743517440,28.2,28.27,28.19,28.24,45436.0
2025-04-01T10:25:00-04:00,1743517500,28.25,28.32,28.235,28.3,27711.0
2025-04-01T10:26:00-04:00,1743517560,28.3,28.3,28.23,28.26,15260.0
2025-04-01T10:27:00-04:00,1743517620,28.2805,28.3,28.135,28.1463,34292.0
2025-04-01T10:28:00-04:00,1743517680,28.13,28.2,28.08,28.2,55425.0
2025-04-01T10:29:00-04:00,1743517740,28.215,28.25,28.165,28.175,14908.0
2025-04-01T10:30:00-04:00,1743517800,28.15,28.245,28.14,28.22,21631.0
2025-04-01T10:31:00-04:00,1743517860,28.23,28.29,28.23,28.275,39595.0
2025-04-01T10:32:00-04:00,1743517920,28.275,28.33,28.23,28.3,23345.0
2025-04-01T10:33:00-04:00,1743517980,28.31,28.33,28.245,28.29,30952.0
2025-04-01T10:34:00-04:00,1743518040,28.305,28.36,28.29,28.35,20158.0
2025-04-01T10:35:00-04:00,1743518100,28.35,28.365,28.32,28.34,10996.0
2025-04-01T10:36:00-04:00,1743518160,28.34,28.44,28.3399,28.42,48234.0
2025-04-01T10:37:00-04:00,1743518220,28.44,28.46,28.41,28.455,29491.0
2025-04-01T10:38:00-04:00,1743518280,28.45,28.64,28.44,28.6,124658.0
2025-04-01T10:39:00-04:00,1743518340,28.59,28.685,28.55,28.55,42117.0
2025-04-01T10:40:00-04:00,1743518400,28.535,28.57,28.51,28.545,31991.0
2025-04-01T10:41:00-04:00,1743518460,28.56,28.63,28.5577,28.61,11383.0
2025-04-01T10:42:00-04:00,1743518520,28.62,28.7,28.59,28.67,49160.0
2025-04-01T10:43:00-04:00,1743518580,28.67,28.7807,28.67,28.7701,38728.0
2025-04-01T10:44:00-04:00,1743518640,28.78,28.78,28.71,28.71,23267.0
2025-04-01T10:45:00-04:00,1743518700,28.69,28.69,28.5916,28.6123,33916.0
2025-04-01T10:46:00-04:00,1743518760,28.615,28.685,28.61,28.64,16492.0
2025-04-01T10:47:00-04:00,1743518820,28.63,28.6754,28.6283,28.65,31869.0
2025-04-01T10:48:00-04:00,1743518880,28.64,28.66,28.5415,28.66,46485.0
2025-04-01T10:49:00-04:00,1743518940,28.65,28.71,28.65,28.7,32564.0
2025-04-01T10:50:00-04:00,1743519000,28.705,28.75,28.705,28.75,25773.0
2025-04-01T10:51:00-04:00,1743519060,28.75,28.84,28.75,28.835,59463.0
2025-04-01T10:52:00-04:00,1743519120,28.835,28.92,28.825,28.92,40622.0
2025-04-01T10:53:00-04:00,1743519180,28.89,28.93,28.8746,28.905,38708.0
2025-04-01T10:54:00-04:00,1743519240,28.91,28.99,28.8899,28.99,34592.0
2025-04-01T10:55:00-04:00,1743519300,28.99,29.0353,28.98,29.0,42375.0
2025-04-01T10:56:00-04:00,1743519360,29.0,29.04,28.94,28.94,41906.0
2025-04-01T10:57:00-04:00,1743519420,28.9315,28.97,28.9,28.95,39555.0
2025-04-01T10:58:00-04:00,1743519480,28.96,29.0,28.9435,28.99,22616.0
2025-04-01T10:59:00-04:00,1743519540,28.99,29.085,28.99,29.085,21889.0
2025-04-01T11:00:00-04:00,1743519600,29.08,29.1,29.03,29.1,51694.0
2025-04-01T11:01:00-04:00,1743519660,29.11,29.1801,29.075,29.18,51072.0
2025-04-01T11:02:00-04:00,1743519720,29.19,29.19,29.145,29.145,30407.0
2025-04-01T11:03:00-04:00,1743519780,29.14,29.24,29.14,29.22,46429.0
2025-04-01T11:04:00-04:00,1743519840,29.23,29.23,29.165,29.17,17300.0
2025-04-01T11:05:00-04:00,1743519900,29.1593,29.2531,29.15,29.25,33830.0
2025-04-01T11:06:00-04:00,1743519960,29.23,29.2365,29.2032,29.2313,35304.0
2025-04-01T11:07:00-04:00,1743520020,29.23,29.245,29.1836,29.2207,59369.0
2025-04-01T11:08:00-04:00,1743520080,29.22,29.3435,29.21,29.3435,56468.0
2025-04-01T11:09:00-04:00,1743520140,29.34,29.4,29.305,29.39,32738.0
2025-04-01T11:10:00-04:00,1743520200,29.3801,29.4,29.335,29.4,33803.0
2025-04-01T11:11:00-04:00,1743520260,29.4,29.44,29.39,29.395,42329.0
2025-04-01T11:12:00-04:00,1743520320,29.395,29.445,29.3936,29.42,25578.0
2025-04-01T11:13:00-04:00,1743520380,29.425,29.46,29.415,29.46,19184.0
2025-04-01T11:14:00-04:00,1743520440,29.45,29.555,29.45,29.545,37204.0
2025-04-01T11:15:00-04:00,1743520500,29.54,29.555,29.51,29.525,58848.0
2025-04-01T11:16:00-04:00,1743520560,29.52,29.62,29.515,29.62,49817.0
2025-04-01T11:17:00-04:00,1743520620,29.62,29.65,29.605,29.65,63901.0
2025-04-01T11:18:00-04:00,1743520680,29.66,29.72,29.65,29.6693,46916.0
2025-04-01T11:19:00-04:00,1743520740,29.6617,29.675,29.603,29.6201,60427.0
2025-04-01T11:20:00-04:00,1743520800,29.61,29.61,29.49,29.495,72266.0
2025-04-01T11:21:00-04:00,1743520860,29.49,29.5969,29.485,29.57,46077.0
2025-04-01T11:22:00-04:00,1743520920,29.6,29.66,29.588,29.66,16695.0
2025-04-01T11:23:00-04:00,1743520980,29.665,29.71,29.66,29.675,32846.0
2025-04-01T11:24:00-04:00,1743521040,29.66,29.71,29.65,29.69,22446.0
2025-04-01T11:25:00-04:00,1743521100,29.685,29.69,29.66,29.6607,8018.0
2025-04-01T11:26:00-04:00,1743521160,29.67,29.735,29.6416,29.66,56492.0
2025-04-01T11:27:00-04:00,1743521220,29.64,29.66,29.62,29.64,9106.0
2025-04-01T11:28:00-04:00,1743521280,29.6329,29.67,29.61,29.62,39203.0
2025-04-01T11:29:00-04:00,1743521340,29.61,29.62,29.56,29.585,32968.0
2025-04-01T11:30:00-04:00,1743521400,29.585,29.59,29.54,29.59,24688.0
2025-04-01T11:31:00-04:00,1743521460,29.57,29.5722,29.5,29.56,17966.0
