bar_index,equity,drawdown
0,100000.00,0.0000
1,100000.00,0.0000
2,100000.00,0.0000
3,100000.00,0.0000
4,100000.00,0.0000
5,100000.00,0.0000
6,100000.00,0.0000
7,100000.00,0.0000
8,100000.00,0.0000
9,100000.00,0.0000
10,100000.00,0.0000
11,100000.00,0.0000
12,100000.00,0.0000
13,100000.00,0.0000
14,100000.00,0.0000
15,100000.00,0.0000
16,100000.00,0.0000
17,100000.00,0.0000
18,100000.00,0.0000
19,100000.00,0.0000
20,100000.00,0.0000
21,100000.00,0.0000
22,100000.00,0.0000
23,100000.00,0.0000
24,100000.00,0.0000
25,100000.00,0.0000
26,100000.00,0.0000
27,100000.00,0.0000
28,100000.00,0.0000
29,100000.00,0.0000
30,100000.00,0.0000
31,100000.00,0.0000
32,100000.00,0.0000
33,100000.00,0.0000
34,100000.00,0.0000
35,100000.00,0.0000
36,100000.00,0.0000
37,100000.00,0.0000
38,100000.00,0.0000
39,100000.00,0.0000
40,100000.00,0.0000
41,100000.00,0.0000
42,100000.00,0.0000
43,100000.00,0.0000
44,100000.00,0.0000
45,100000.00,0.0000
46,100000.00,0.0000
47,100000.00,0.0000
48,100000.00,0.0000
49,100000.00,0.0000
50,100000.00,0.0000
51,100000.00,0.0000
52,100000.00,0.0000
53,100000.00,0.0000
54,100000.00,0.0000
55,100000.00,0.0000
56,100000.00,0.0000
57,100000.00,0.0000
58,100000.00,0.0000
59,100000.00,0.0000
60,100000.00,0.0000
61,100000.00,0.0000
62,100000.00,0.0000
63,100000.00,0.0000
64,100000.00,0.0000
65,100000.00,0.0000
66,100000.00,0.0000
67,100000.00,0.0000
68,100000.00,0.0000
69,100000.00,0.0000
70,100000.00,0.0000
71,100000.00,0.0000
72,100000.00,0.0000
73,100000.00,0.0000
74,100000.00,0.0000
75,100000.00,0.0000
76,100000.00,0.0000
77,100000.00,0.0000
78,100000.00,0.0000
79,100000.00,0.0000
80,100000.00,0.0000
81,100000.00,0.0000
82,100000.00,0.0000
83,100000.00,0.0000
84,100000.00,0.0000
85,100000.00,0.0000
86,100000.00,0.0000
87,100000.00,0.0000
88,100000.00,0.0000
89,100000.00,0.0000
90,100000.00,0.0000
91,100000.00,0.0000
92,100000.00,0.0000
93,100000.00,0.0000
94,100000.00,0.0000
95,100000.00,0.0000
96,100000.00,0.0000
97,100000.00,0.0000
98,100000.00,0.0000
99,100000.00,0.0000
100,100000.00,0.0000
101,100000.00,0.0000
102,100000.00,0.0000
103,100000.00,0.0000
104,100000.00,0.0000
105,100000.00,0.0000
106,100000.00,0.0000
107,100000.00,0.0000
108,100000.00,0.0000
109,100000.00,0.0000
110,100000.00,0.0000
111,100000.00,0.0000
112,100000.00,0.0000
113,100000.00,0.0000
114,100000.00,0.0000
115,100000.00,0.0000
116,100000.00,0.0000
117,100000.00,0.0000
118,100000.00,0.0000
119,100000.00,0.0000
120,100000.00,0.0000
121,100000.00,0.0000
122,100000.00,0.0000
123,100000.00,0.0000
124,100000.00,0.0000
125,100000.00,0.0000
126,100000.00,0.0000
127,100000.00,0.0000
128,100000.00,0.0000
129,100000.00,0.0000
130,100000.00,0.0000
131,100000.00,0.0000
132,100000.00,0.0000
133,100000.00,0.0000
134,100000.00,0.0000
135,100000.00,0.0000
136,100000.00,0.0000
137,100017.23,0.0000
138,100039.75,0.0001
139,100026.50,0.0001
140,100026.50,0.0006
141,99979.60,0.0004
142,100000.27,0.0007
143,99973.77,0.0006
144,99984.27,0.0002
145,100024.01,0.0006
146,99976.83,0.0005
147,99989.68,0.0005
148,99990.07,0.0004
149,100002.93,0.0004
150,100002.93,0.0002
151,100022.01,0.0004
152,99995.50,0.0001
153,100029.43,0.0001
154,100029.43,0.0001
155,100029.43,0.0001
156,100029.43,0.0001
157,100029.43,0.0001
158,100025.19,0.0000
159,100035.00,0.0000
160,100042.69,0.0000
161,100042.69,0.0000
162,100042.69,0.0000
163,100044.02,0.0000
164,100055.95,0.0000
165,100082.47,0.0003
166,100049.29,0.0008
167,99999.01,0.0006
168,100021.39,0.0000
169,100084.96,0.0000
170,100127.33,0.0001
171,100119.77,0.0007
172,100055.81,0.0009
173,100036.40,0.0008
174,100048.69,0.0013
175,99997.99,0.0017
176,99961.29,0.0015
177,99975.29,0.0015
178,99975.29,0.0015
179,99975.29,0.0015
180,99975.29,0.0015
181,99975.29,0.0015
182,99975.29,0.0014
183,99986.68,0.0015
184,99973.44,0.0015
185,99973.44,0.0020
186,99929.73,0.0020
187,99929.73,0.0018
188,99948.72,0.0019
189,99941.35,0.0016
190,99966.64,0.0014
191,99984.85,0.0013
192,99995.52,0.0018
193,99943.20,0.0018
194,99943.20,0.0018
195,99943.20,0.0018
196,99943.20,0.0018
197,99943.20,0.0018
198,99943.20,0.0017
199,99961.49,0.0016
200,99962.28,0.0019
201,99937.11,0.0019
202,99937.11,0.0019
203,99937.11,0.0019
204,99937.11,0.0019
205,99937.11,0.0018
206,99950.09,0.0019
207,99938.44,0.0018
208,99950.09,0.0016
209,99965.66,0.0019
210,99941.58,0.0026
211,99867.09,0.0026
212,99862.59,0.0027
213,99859.15,0.0026
214,99867.09,0.0026
215,99867.09,0.0027
216,99855.71,0.0026
217,99866.83,0.0027
218,99853.86,0.0025
219,99880.33,0.0023
220,99899.91,0.0023
221,99893.96,0.0024
222,99890.48,0.0024
223,99890.48,0.0024
224,99890.48,0.0024
225,99890.48,0.0024
226,99890.48,0.0024
227,99890.48,0.0031
228,99820.76,0.0034
229,99784.39,0.0029
230,99837.42,0.0033
231,99800.66,0.0036
232,99764.06,0.0033
233,99797.83,0.0033
234,99797.83,0.0024
235,99889.02,0.0027
236,99855.76,0.0004
237,100083.21,0.0002
238,100103.87,0.0002
239,100110.24,0.0000
240,100122.71,0.0002
241,100109.31,0.0002
242,100102.81,0.0002
243,100102.68,0.0003
244,100100.88,0.0002
245,100102.54,0.0002
246,100103.14,0.0002
247,100104.74,0.0002
248,100105.80,0.0003
249,100096.77,0.0004
250,100089.20,0.0003
251,100100.02,0.0004
252,100091.98,0.0004
253,100088.53,0.0002
254,100104.13,0.0002
255,100102.68,0.0001
256,100119.14,0.0000
257,100128.96,0.0001
258,100115.95,0.0001
259,100115.95,0.0001
260,100115.95,0.0001
261,100115.95,0.0001
262,100115.95,0.0001
263,100115.95,0.0001
264,100115.95,0.0001
265,100115.95,0.0001
266,100115.95,0.0001
267,100115.95,0.0001
268,100115.95,0.0001
269,100115.95,0.0001
270,100115.95,0.0001
271,100115.95,0.0001
272,100115.95,0.0001
273,100115.95,0.0001
274,100115.95,0.0001
275,100115.95,0.0001
276,100115.95,0.0001
277,100115.95,0.0001
278,100115.95,0.0001
279,100115.95,0.0001
280,100115.95,0.0001
281,100115.95,0.0001
282,100115.95,0.0000
283,100358.51,0.0009
284,100271.63,0.0009
285,100271.63,0.0009
286,100271.63,0.0009
287,100271.63,0.0019
288,100168.63,0.0017
