bar_index,equity,drawdown
0,100000.00,0.0000
1,100000.00,0.0000
2,100000.00,0.0000
3,100000.00,0.0000
4,100000.00,0.0000
5,100000.00,0.0000
6,100000.00,0.0000
7,100000.00,0.0000
8,100000.00,0.0000
9,100000.00,0.0000
10,100000.00,0.0000
11,100000.00,0.0000
12,100000.00,0.0000
13,100000.00,0.0000
14,100000.00,0.0000
15,100000.00,0.0000
16,100000.00,0.0000
17,100000.00,0.0000
18,100000.00,0.0000
19,100000.00,0.0000
20,100000.00,0.0000
21,100000.00,0.0000
22,100000.00,0.0000
23,100000.00,0.0000
24,100000.00,0.0000
25,100000.00,0.0000
26,100000.00,0.0000
27,100000.00,0.0000
28,100000.00,0.0000
29,100000.00,0.0000
30,100000.00,0.0000
31,100000.00,0.0000
32,100000.00,0.0000
33,100000.00,0.0000
34,100000.00,0.0000
35,100000.00,0.0000
36,100000.00,0.0000
37,100000.00,0.0000
38,100000.00,0.0000
39,100000.00,0.0000
40,100000.00,0.0000
41,100000.00,0.0000
42,100000.00,0.0000
43,100000.00,0.0000
44,100000.00,0.0000
45,100000.00,0.0000
46,100000.00,0.0000
47,100000.00,0.0000
48,100000.00,0.0000
49,100000.00,0.0000
50,100000.00,0.0000
51,100000.00,0.0000
52,100000.00,0.0000
53,100000.00,0.0000
54,100000.00,0.0000
55,100000.00,0.0000
56,100000.00,0.0000
57,100000.00,0.0000
58,100000.00,0.0000
59,100000.00,0.0000
60,100000.00,0.0000
61,100000.00,0.0000
62,100000.00,0.0000
63,100000.00,0.0000
64,100000.00,0.0000
65,100000.00,0.0000
66,100000.00,0.0000
67,100000.00,0.0000
68,100000.00,0.0000
69,100000.00,0.0000
70,100000.00,0.0000
71,100000.00,0.0000
72,100000.00,0.0000
73,100000.00,0.0000
74,100000.00,0.0000
75,100000.00,0.0000
76,100000.00,0.0000
77,100000.00,0.0000
78,100000.00,0.0000
79,100000.00,0.0000
80,100000.00,0.0000
81,100000.00,0.0000
82,100000.00,0.0000
83,100000.00,0.0000
84,100000.00,0.0000
85,100000.00,0.0000
86,100000.00,0.0000
87,100000.00,0.0000
88,100000.00,0.0000
89,100000.00,0.0000
90,100000.00,0.0000
91,100000.00,0.0000
92,100000.00,0.0000
93,100000.00,0.0000
94,100000.00,0.0000
95,100000.00,0.0000
96,100000.00,0.0000
97,100000.00,0.0000
98,100000.00,0.0000
99,100000.00,0.0000
100,100000.00,0.0000
101,100000.00,0.0000
102,100000.00,0.0000
103,100000.00,0.0000
104,100000.00,0.0000
105,100000.00,0.0000
106,100000.00,0.0000
107,100000.00,0.0000
108,100000.00,0.0000
109,100000.00,0.0000
110,100000.00,0.0000
111,100000.00,0.0000
112,100000.00,0.0000
113,100000.00,0.0000
114,100000.00,0.0000
115,100000.00,0.0000
116,100000.00,0.0000
117,100000.00,0.0000
118,100000.00,0.0000
119,100000.00,0.0000
120,100000.00,0.0000
121,100000.00,0.0000
122,100000.00,0.0000
123,100000.00,0.0000
124,100000.00,0.0000
125,100000.00,0.0000
126,100000.00,0.0000
127,100000.00,0.0000
128,100000.00,0.0000
129,100000.00,0.0000
130,100000.00,0.0000
131,100000.00,0.0000
132,100000.00,0.0000
133,100000.00,0.0000
134,100000.00,0.0000
135,100000.00,0.0000
136,100000.00,0.0000
137,100000.00,0.0000
138,100000.00,0.0000
139,100000.00,0.0000
140,100000.00,0.0000
141,100000.00,0.0000
142,100000.00,0.0000
143,100000.00,0.0000
144,100000.00,0.0000
145,100000.00,0.0000
146,100000.00,0.0000
147,100000.00,0.0000
148,100000.00,0.0000
149,100000.00,0.0000
150,100000.00,0.0000
151,100000.00,0.0000
152,100000.00,0.0000
153,100000.00,0.0000
154,100000.00,0.0000
155,100000.00,0.0000
156,100000.00,0.0000
157,100000.00,0.0000
158,100000.00,0.0000
159,100000.00,0.0000
160,100000.00,0.0000
161,100000.00,0.0000
162,100000.00,0.0000
163,100000.00,0.0000
164,100000.00,0.0000
165,100000.00,0.0000
166,100000.00,0.0000
167,100000.00,0.0000
168,100000.00,0.0000
169,100000.00,0.0000
170,100000.00,0.0000
171,100000.00,0.0000
172,100000.00,0.0000
173,100000.00,0.0000
174,100000.00,0.0000
175,100000.00,0.0000
176,100000.00,0.0000
177,100000.00,0.0000
178,100000.00,0.0000
179,100000.00,0.0000
180,100000.00,0.0000
181,100000.00,0.0000
182,100000.00,0.0000
183,100000.00,0.0000
184,100000.00,0.0000
185,100000.00,0.0000
186,100000.00,0.0000
187,100000.00,0.0000
188,100000.00,0.0000
189,100000.00,0.0000
190,100000.00,0.0000
191,100000.00,0.0000
192,100000.00,0.0000
193,100000.00,0.0000
194,100000.00,0.0000
195,100000.00,0.0000
196,100000.00,0.0000
197,100000.00,0.0000
198,100000.00,0.0000
199,100000.00,0.0000
200,100000.00,0.0000
201,100000.00,0.0000
202,100000.00,0.0000
203,100000.00,0.0000
204,100000.00,0.0000
205,100000.00,0.0000
206,100000.00,0.0000
207,100000.00,0.0000
208,100000.00,0.0000
209,100000.00,0.0000
210,100000.00,0.0000
211,100000.00,0.0000
212,100000.00,0.0000
213,100000.00,0.0000
214,100000.00,0.0000
215,100000.00,0.0000
216,100000.00,0.0000
217,100000.00,0.0000
218,100000.00,0.0000
219,100000.00,0.0000
220,100000.00,0.0000
221,100000.00,0.0000
222,100000.00,0.0000
223,100000.00,0.0000
224,100000.00,0.0000
225,100000.00,0.0000
226,100000.00,0.0000
227,100000.00,0.0000
228,100000.00,0.0000
229,100000.00,0.0000
230,100000.00,0.0000
231,100000.00,0.0000
232,100000.00,0.0000
233,100000.00,0.0000
234,100000.00,0.0000
235,100000.00,0.0000
236,100000.00,0.0000
237,100000.00,0.0000
238,100000.00,0.0000
239,100000.00,0.0000
240,100000.00,0.0000
241,100000.00,0.0000
242,100000.00,0.0000
243,100000.00,0.0000
244,100000.00,0.0000
245,100000.00,0.0000
246,100000.00,0.0000
247,100000.00,0.0000
248,100000.00,0.0000
249,100000.00,0.0000
250,100000.00,0.0000
251,100000.00,0.0000
252,100000.00,0.0000
253,100000.00,0.0000
254,100000.00,0.0000
255,100000.00,0.0000
256,100000.00,0.0000
257,100000.00,0.0000
258,100000.00,0.0000
259,100000.00,0.0000
260,100000.00,0.0000
261,100000.00,0.0000
262,100000.00,0.0000
263,100000.00,0.0000
264,100000.00,0.0000
265,100000.00,0.0000
266,100000.00,0.0000
267,100000.00,0.0000
268,100000.00,0.0000
269,100000.00,0.0000
270,100000.00,0.0000
271,100000.00,0.0000
272,100000.00,0.0000
273,100000.00,0.0000
274,100000.00,0.0000
275,100000.00,0.0000
276,100000.00,0.0000
277,100000.00,0.0000
278,100000.00,0.0000
279,100000.00,0.0000
280,100000.00,0.0000
281,100000.00,0.0000
282,100000.00,0.0000
283,100000.00,0.0000
284,100000.00,0.0000
285,100000.00,0.0000
286,100000.00,0.0000
287,100000.00,0.0000
288,100000.00,0.0000
