bar_index,equity,drawdown
0,100000.00,0.0000
1,100000.00,0.0000
2,100000.00,0.0000
3,100000.00,0.0000
4,100000.00,0.0000
5,100000.00,0.0000
6,100000.00,0.0000
7,100000.00,0.0000
8,100000.00,0.0000
9,100000.00,0.0000
10,100000.00,0.0000
11,100000.00,0.0000
12,100000.00,0.0000
13,100000.00,0.0000
14,100000.00,0.0000
15,100000.00,0.0000
16,100000.00,0.0000
17,100000.00,0.0000
18,100000.00,0.0000
19,100000.00,0.0000
20,100000.00,0.0000
21,100000.00,0.0000
22,100000.00,0.0000
23,100000.00,0.0000
24,100000.00,0.0000
25,100000.00,0.0000
26,100000.00,0.0000
27,100000.00,0.0000
28,100000.00,0.0000
29,100000.00,0.0000
30,100000.00,0.0000
31,100000.00,0.0000
32,100000.00,0.0000
33,100000.00,0.0000
34,100000.00,0.0000
35,100000.00,0.0000
36,100000.00,0.0000
37,100000.00,0.0000
38,100000.00,0.0000
39,100000.00,0.0000
40,100000.00,0.0000
41,100000.00,0.0000
42,100000.00,0.0000
43,100000.00,0.0000
44,100000.00,0.0000
45,100000.00,0.0000
46,100000.00,0.0000
47,100000.00,0.0000
48,100000.00,0.0000
49,100000.00,0.0000
50,100000.00,0.0000
51,100000.00,0.0000
52,100000.00,0.0000
53,100000.00,0.0000
54,100000.00,0.0000
55,100000.00,0.0000
56,100000.00,0.0000
57,100000.00,0.0000
58,100000.00,0.0000
59,100000.00,0.0000
60,100000.00,0.0000
61,100000.00,0.0000
62,100000.00,0.0000
63,100000.00,0.0000
64,100000.00,0.0000
65,100000.00,0.0000
66,100000.00,0.0000
67,100000.00,0.0000
68,100000.00,0.0000
69,100000.00,0.0000
70,100000.00,0.0000
71,100000.00,0.0000
72,100000.00,0.0000
73,100000.00,0.0000
74,100000.00,0.0000
75,100000.00,0.0000
76,100000.00,0.0000
77,100000.00,0.0000
78,100000.00,0.0000
79,100000.00,0.0000
80,100000.00,0.0000
81,100000.00,0.0000
82,100000.00,0.0000
83,100000.00,0.0000
84,100000.00,0.0000
85,100000.00,0.0000
86,100000.00,0.0000
87,100000.00,0.0000
88,100000.00,0.0000
89,100000.00,0.0000
90,100000.00,0.0000
91,100000.00,0.0000
92,100000.00,0.0000
93,100000.00,0.0000
94,100000.00,0.0000
95,100000.00,0.0000
96,100000.00,0.0000
97,100000.00,0.0000
98,100000.00,0.0000
99,100000.00,0.0000
100,100000.00,0.0000
101,100000.00,0.0000
102,100000.00,0.0000
103,100000.00,0.0000
104,100000.00,0.0000
105,100000.00,0.0000
106,100000.00,0.0000
107,100000.00,0.0000
108,100000.00,0.0000
109,100000.00,0.0000
110,100000.00,0.0000
111,100000.00,0.0000
112,100000.00,0.0000
113,100000.00,0.0000
114,100000.00,0.0000
115,100000.00,0.0000
116,100000.00,0.0000
117,100000.00,0.0000
118,100000.00,0.0000
119,100000.00,0.0000
120,100000.00,0.0000
121,100000.00,0.0000
122,100000.00,0.0000
123,100003.00,0.0000
124,100015.00,0.0000
125,100015.00,0.0000
126,100015.00,0.0000
127,100015.00,0.0000
128,100015.00,0.0000
129,100015.00,0.0000
130,100015.00,0.0000
131,100015.00,0.0000
132,100015.00,0.0000
133,100048.00,0.0000
134,100051.00,0.0000
135,100051.00,0.0000
136,100051.00,0.0000
137,100051.00,0.0000
138,100048.00,0.0002
139,100028.68,0.0003
140,100021.01,0.0003
141,100021.01,0.0003
142,100021.01,0.0003
143,100021.01,0.0003
144,100021.01,0.0003
145,100021.01,0.0003
146,100021.01,0.0003
147,100021.01,0.0003
148,100021.01,0.0003
149,100021.01,0.0003
150,100021.01,0.0006
151,99992.89,0.0005
152,99997.38,0.0006
153,99990.64,0.0006
154,99990.64,0.0005
155,100001.18,0.0008
156,99969.64,0.0008
157,99973.37,0.0008
158,99973.37,0.0008
159,99973.37,0.0008
160,99972.61,0.0008
161,99969.63,0.0009
162,99965.13,0.0009
163,99965.13,0.0009
164,99965.13,0.0009
165,99965.13,0.0009
166,99965.13,0.0009
167,99965.13,0.0009
168,99965.13,0.0009
169,99965.13,0.0009
170,99965.13,0.0009
171,99965.13,0.0008
172,99971.88,0.0007
173,99976.38,0.0007
174,99983.10,0.0007
175,99983.10,0.0007
176,99983.10,0.0006
177,99989.10,0.0006
178,99994.58,0.0005
179,99998.09,0.0005
180,99998.09,0.0006
181,99986.10,0.0006
182,99992.38,0.0005
183,100002.59,0.0005
184,100002.59,0.0006
185,99986.09,0.0006
186,99993.60,0.0006
187,99990.59,0.0006
188,99988.37,0.0005
189,99997.34,0.0003
190,100017.58,0.0003
191,100017.58,0.0001
192,100044.57,0.0000
193,100073.81,0.0004
194,100037.80,0.0004
195,100037.80,0.0004
196,100037.80,0.0004
197,100037.80,0.0006
198,100010.30,0.0004
199,100037.30,0.0005
200,100026.04,0.0005
201,100023.04,0.0005
202,100026.04,0.0004
203,100032.04,0.0004
204,100032.04,0.0004
205,100032.04,0.0004
206,100036.54,0.0005
207,100027.54,0.0006
208,100014.03,0.0006
209,100014.03,0.0008
210,99989.28,0.0007
211,100007.28,0.0011
212,99966.78,0.0011
213,99966.78,0.0012
214,99957.79,0.0014
215,99935.32,0.0015
216,99919.59,0.0015
217,99919.59,0.0016
218,99910.61,0.0015
219,99924.08,0.0010
220,99970.49,0.0009
221,99985.03,0.0009
222,99985.03,0.0007
223,100001.88,0.0008
224,99989.52,0.0007
225,100005.25,0.0009
226,99987.26,0.0012
227,99952.81,0.0014
228,99934.85,0.0014
229,99934.85,0.0014
230,99934.85,0.0014
231,99934.85,0.0014
232,99934.85,0.0013
233,99940.82,0.0013
234,99939.32,0.0015
235,99925.85,0.0016
236,99917.62,0.0016
237,99910.89,0.0016
238,99910.89,0.0016
239,99910.89,0.0016
240,99910.89,0.0019
241,99879.48,0.0021
242,99866.02,0.0019
243,99881.72,0.0019
244,99881.72,0.0019
245,99881.72,0.0023
246,99846.25,0.0022
247,99858.21,0.0020
248,99871.66,0.0020
249,99871.66,0.0020
250,99871.66,0.0020
251,99871.66,0.0020
252,99871.66,0.0020
253,99871.66,0.0020
254,99871.66,0.0020
255,99871.66,0.0020
256,99871.66,0.0020
257,99871.66,0.0020
258,99871.66,0.0020
259,99871.66,0.0022
260,99858.59,0.0022
261,99856.35,0.0023
262,99848.13,0.0023
263,99848.13,0.0023
264,99848.13,0.0023
265,99848.13,0.0023
266,99848.13,0.0023
267,99848.13,0.0023
268,99848.13,0.0023
269,99848.13,0.0023
270,99848.13,0.0023
271,99848.13,0.0023
272,99848.13,0.0023
273,99848.13,0.0025
274,99818.98,0.0028
275,99790.96,0.0031
276,99762.97,0.0031
277,99762.97,0.0031
278,99765.20,0.0031
279,99761.47,0.0032
280,99753.26,0.0030
281,99773.63,0.0030
282,99772.26,0.0032
283,99755.49,0.0035
284,99726.39,0.0035
285,99726.39,0.0035
286,99721.17,0.0036
287,99715.95,0.0036
288,99711.46,0.0036
