bar_index,equity,drawdown
0,100000.00,0.0000
1,100000.00,0.0000
2,100000.00,0.0000
3,100000.00,0.0000
4,100000.00,0.0000
5,100000.00,0.0000
6,100000.00,0.0000
7,100000.00,0.0000
8,100000.00,0.0000
9,100000.00,0.0000
10,100000.00,0.0000
11,100000.00,0.0000
12,100000.00,0.0000
13,100000.00,0.0000
14,100000.00,0.0000
15,100000.00,0.0000
16,100000.00,0.0000
17,100000.00,0.0000
18,100000.00,0.0000
19,100000.00,0.0000
20,100000.00,0.0000
21,100000.00,0.0000
22,100000.00,0.0000
23,100000.00,0.0000
24,100000.00,0.0000
25,100000.00,0.0000
26,100000.00,0.0000
27,100000.00,0.0000
28,100000.00,0.0000
29,100000.00,0.0000
30,100000.00,0.0000
31,100000.00,0.0000
32,100000.00,0.0000
33,100000.00,0.0000
34,100000.00,0.0000
35,100000.00,0.0000
36,100000.00,0.0000
37,100000.00,0.0000
38,100000.00,0.0000
39,100000.00,0.0000
40,100000.00,0.0000
41,100000.00,0.0000
42,100000.00,0.0000
43,100000.00,0.0000
44,100000.00,0.0000
45,100000.00,0.0000
46,100000.00,0.0000
47,100000.00,0.0000
48,100000.00,0.0000
49,100000.00,0.0000
50,100000.00,0.0000
51,100000.00,0.0000
52,100000.00,0.0000
53,100000.00,0.0000
54,100000.00,0.0000
55,100000.00,0.0000
56,100000.00,0.0000
57,100000.00,0.0000
58,100000.00,0.0000
59,100000.00,0.0000
60,100000.00,0.0000
61,100000.00,0.0000
62,100000.00,0.0000
63,100000.00,0.0000
64,100000.00,0.0000
65,100000.00,0.0000
66,100000.00,0.0000
67,100000.00,0.0000
68,100000.00,0.0000
69,100000.00,0.0000
70,100000.00,0.0000
71,100000.00,0.0000
72,100000.00,0.0000
73,100000.00,0.0000
74,100000.00,0.0000
75,100000.00,0.0000
76,100000.00,0.0000
77,100000.00,0.0000
78,100000.00,0.0000
79,100000.00,0.0000
80,100000.00,0.0000
81,100000.00,0.0000
82,100000.00,0.0000
83,100000.00,0.0000
84,100000.00,0.0000
85,100000.00,0.0000
86,100000.00,0.0000
87,100000.00,0.0000
88,100000.00,0.0000
89,100000.00,0.0000
90,100000.00,0.0000
91,100000.00,0.0000
92,100000.00,0.0000
93,100000.00,0.0000
94,100000.00,0.0000
95,100000.00,0.0000
96,100000.00,0.0000
97,100000.00,0.0000
98,100000.00,0.0000
99,100000.00,0.0000
100,100000.00,0.0000
101,100000.00,0.0000
102,100000.00,0.0000
103,100000.00,0.0000
104,100000.00,0.0000
105,100000.00,0.0000
106,100000.00,0.0000
107,100000.00,0.0000
108,100000.00,0.0000
109,100000.00,0.0000
110,100000.00,0.0000
111,100000.00,0.0000
112,100000.00,0.0000
113,100000.00,0.0000
114,100000.00,0.0000
115,100000.00,0.0000
116,100000.00,0.0000
117,100000.00,0.0000
118,100000.00,0.0000
119,100000.00,0.0000
120,100000.00,0.0000
121,100000.00,0.0000
122,100000.00,0.0000
123,100000.00,0.0000
124,100000.00,0.0000
125,100000.00,0.0000
126,100000.00,0.0000
127,100000.00,0.0000
128,100000.00,0.0000
129,100000.00,0.0000
130,100000.00,0.0000
131,100000.00,0.0000
132,100000.00,0.0000
133,100000.00,0.0000
134,99997.75,0.0000
135,99997.75,0.0003
136,99966.26,0.0003
137,99966.26,0.0003
138,99966.26,0.0002
139,99975.91,0.0002
140,99979.75,0.0003
141,99970.76,0.0002
142,99976.38,0.0003
143,99968.53,0.0004
144,99959.52,0.0004
145,99959.52,0.0004
146,99959.52,0.0004
147,99959.52,0.0004
148,99959.52,0.0004
149,99959.52,0.0004
150,99959.52,0.0004
151,99959.52,0.0004
152,99959.52,0.0004
153,99959.52,0.0004
154,99959.52,0.0004
155,99959.52,0.0004
156,99959.52,0.0004
157,99959.52,0.0004
158,99959.52,0.0005
159,99949.40,0.0005
160,99948.26,0.0006
161,99943.78,0.0006
162,99937.04,0.0005
163,99946.03,0.0006
164,99940.04,0.0005
165,99953.52,0.0005
166,99951.27,0.0007
167,99933.27,0.0006
168,99935.54,0.0006
169,99935.54,0.0006
170,99935.54,0.0006
171,99935.54,0.0006
172,99940.03,0.0006
173,99943.03,0.0005
174,99947.51,0.0005
175,99947.51,0.0011
176,99893.55,0.0010
177,99898.04,0.0010
178,99902.15,0.0010
179,99903.90,0.0010
180,99903.90,0.0011
181,99891.92,0.0011
182,99891.92,0.0011
183,99891.92,0.0011
184,99891.92,0.0011
185,99891.92,0.0012
186,99876.91,0.0012
187,99882.93,0.0011
188,99885.90,0.0011
189,99885.90,0.0011
190,99885.90,0.0011
191,99885.90,0.0011
192,99885.90,0.0011
193,99885.90,0.0011
194,99885.90,0.0008
195,99917.36,0.0007
196,99933.09,0.0009
197,99913.35,0.0009
198,99913.35,0.0009
199,99913.35,0.0009
200,99913.35,0.0009
201,99913.35,0.0009
202,99913.35,0.0008
203,99922.34,0.0007
204,99926.84,0.0005
205,99947.07,0.0005
206,99953.82,0.0006
207,99940.32,0.0007
208,99926.83,0.0009
209,99907.34,0.0011
210,99890.86,0.0011
211,99890.86,0.0014
212,99863.90,0.0015
213,99845.93,0.0016
214,99839.95,0.0016
215,99839.95,0.0016
216,99839.95,0.0016
217,99839.95,0.0016
218,99839.95,0.0016
219,99839.95,0.0016
220,99839.95,0.0016
221,99839.95,0.0016
222,99839.95,0.0014
223,99856.77,0.0016
224,99844.43,0.0014
225,99860.14,0.0016
226,99842.18,0.0019
227,99807.78,0.0021
228,99789.84,0.0021
229,99789.84,0.0020
230,99800.27,0.0020
231,99800.29,0.0021
232,99789.09,0.0021
233,99789.09,0.0021
234,99789.09,0.0022
235,99775.64,0.0023
236,99767.43,0.0024
237,99760.70,0.0024
238,99760.70,0.0024
239,99760.70,0.0024
240,99760.70,0.0024
241,99760.70,0.0024
242,99760.70,0.0024
243,99760.70,0.0024
244,99760.70,0.0024
245,99760.70,0.0024
246,99760.70,0.0024
247,99760.70,0.0024
248,99760.70,0.0024
249,99760.70,0.0024
250,99760.70,0.0024
251,99760.70,0.0024
252,99760.70,0.0019
253,99808.81,0.0023
254,99774.12,0.0023
255,99765.15,0.0023
256,99765.15,0.0023
257,99765.15,0.0025
258,99748.72,0.0023
259,99770.41,0.0020
260,99796.53,0.0020
261,99796.53,0.0020
262,99796.53,0.0020
263,99796.53,0.0020
264,99796.53,0.0020
265,99796.53,0.0020
266,99796.53,0.0020
267,99796.53,0.0020
268,99796.53,0.0020
269,99796.53,0.0020
270,99796.53,0.0020
271,99796.53,0.0020
272,99796.53,0.0020
273,99796.53,0.0020
274,99796.53,0.0020
275,99796.53,0.0020
276,99796.53,0.0020
277,99796.53,0.0020
278,99796.53,0.0020
279,99796.53,0.0023
280,99771.89,0.0021
281,99792.26,0.0021
282,99790.90,0.0022
283,99779.72,0.0024
284,99760.31,0.0024
285,99760.31,0.0024
286,99760.31,0.0024
287,99760.31,0.0024
288,99760.31,0.0024
