bar_index,equity,drawdown
0,100000.00,0.0000
1,100000.00,0.0000
2,100000.00,0.0000
3,100000.00,0.0000
4,100000.00,0.0000
5,100000.00,0.0000
6,100000.00,0.0000
7,100000.00,0.0000
8,100000.00,0.0000
9,100000.00,0.0000
10,100000.00,0.0000
11,100000.00,0.0000
12,100000.00,0.0000
13,100000.00,0.0000
14,100000.00,0.0000
15,100000.00,0.0000
16,100000.00,0.0000
17,100000.00,0.0000
18,100000.00,0.0000
19,100000.00,0.0000
20,100000.00,0.0000
21,100000.00,0.0000
22,100000.00,0.0000
23,100000.00,0.0000
24,100000.00,0.0000
25,100000.00,0.0000
26,100000.00,0.0000
27,100000.00,0.0000
28,100000.00,0.0000
29,100000.00,0.0000
30,100000.00,0.0000
31,100000.00,0.0000
32,100000.00,0.0000
33,100000.00,0.0000
34,100000.00,0.0000
35,100000.00,0.0000
36,100000.00,0.0000
37,100000.00,0.0000
38,100000.00,0.0000
39,100000.00,0.0000
40,100000.00,0.0000
41,100000.00,0.0000
42,100000.00,0.0000
43,100000.00,0.0000
44,100000.00,0.0000
45,100000.00,0.0000
46,100000.00,0.0000
47,100000.00,0.0000
48,100000.00,0.0000
49,100000.00,0.0000
50,100000.00,0.0000
51,100000.00,0.0000
52,100000.00,0.0000
53,100000.00,0.0000
54,100000.00,0.0000
55,100000.00,0.0000
56,100000.00,0.0000
57,100000.00,0.0000
58,100000.00,0.0000
59,100000.00,0.0000
60,100000.00,0.0000
61,100000.00,0.0000
62,100000.00,0.0000
63,100000.00,0.0000
64,100000.00,0.0000
65,100000.00,0.0000
66,100000.00,0.0000
67,100000.00,0.0000
68,100000.00,0.0000
69,100000.00,0.0000
70,100000.00,0.0000
71,100000.00,0.0000
72,100000.00,0.0000
73,100000.00,0.0000
74,100000.00,0.0000
75,100000.00,0.0000
76,100000.00,0.0000
77,100000.00,0.0000
78,100000.00,0.0000
79,100000.00,0.0000
80,100000.00,0.0000
81,100000.00,0.0000
82,100000.00,0.0000
83,100000.00,0.0000
84,100000.00,0.0000
85,100000.00,0.0000
86,100000.00,0.0000
87,100000.00,0.0000
88,100000.00,0.0000
89,100000.00,0.0000
90,100000.00,0.0000
91,100000.00,0.0000
92,100000.00,0.0000
93,100000.00,0.0000
94,100000.00,0.0000
95,100000.00,0.0000
96,100000.00,0.0000
97,100000.00,0.0000
98,100000.00,0.0000
99,100000.00,0.0000
100,100000.00,0.0000
101,100000.00,0.0000
102,100000.00,0.0000
103,100000.00,0.0000
104,100000.00,0.0000
105,100000.00,0.0000
106,100000.00,0.0000
107,100000.00,0.0000
108,100000.00,0.0000
109,100000.00,0.0000
110,100000.00,0.0000
111,100000.00,0.0000
112,100000.00,0.0000
113,100000.00,0.0000
114,100000.00,0.0000
115,100000.00,0.0000
116,100000.00,0.0000
117,100000.00,0.0000
118,100000.00,0.0000
119,100000.00,0.0000
120,100000.00,0.0004
121,99960.60,0.0008
122,99916.74,0.0008
123,99921.23,0.0008
124,99921.23,0.0008
125,99921.23,0.0008
126,99921.23,0.0008
127,99921.23,0.0008
128,99921.23,0.0008
129,99921.23,0.0008
130,99923.48,0.0006
131,99939.21,0.0007
132,99934.72,0.0007
133,99934.72,0.0007
134,99932.47,0.0007
135,99932.47,0.0010
136,99901.00,0.0010
137,99901.00,0.0010
138,99901.00,0.0010
139,99901.00,0.0010
140,99901.00,0.0010
141,99901.00,0.0010
142,99901.00,0.0010
143,99901.00,0.0010
144,99901.00,0.0010
145,99901.00,0.0010
146,99901.00,0.0010
147,99901.00,0.0010
148,99901.00,0.0010
149,99901.00,0.0010
150,99901.00,0.0010
151,99901.00,0.0010
152,99901.00,0.0010
153,99901.00,0.0010
154,99901.00,0.0012
155,99879.94,0.0006
156,99942.94,0.0006
157,99935.47,0.0006
158,99935.47,0.0006
159,99935.47,0.0006
160,99935.47,0.0006
161,99935.47,0.0006
162,99935.47,0.0006
163,99935.47,0.0006
164,99935.47,0.0006
165,99935.47,0.0006
166,99935.47,0.0006
167,99935.47,0.0006
168,99935.47,0.0006
169,99935.47,0.0006
170,99935.47,0.0006
171,99935.47,0.0007
172,99926.48,0.0008
173,99920.49,0.0009
174,99911.52,0.0009
175,99911.52,0.0009
176,99911.52,0.0009
177,99911.52,0.0009
178,99911.52,0.0009
179,99911.52,0.0009
180,99911.52,0.0009
181,99911.52,0.0009
182,99911.52,0.0009
183,99911.52,0.0009
184,99911.52,0.0009
185,99911.52,0.0009
186,99911.52,0.0009
187,99911.52,0.0009
188,99911.52,0.0009
189,99911.52,0.0009
190,99911.52,0.0009
191,99911.52,0.0009
192,99911.52,0.0011
193,99892.06,0.0008
194,99916.02,0.0010
195,99895.04,0.0013
196,99874.06,0.0010
197,99900.37,0.0006
198,99937.00,0.0006
199,99937.00,0.0006
200,99937.00,0.0006
201,99937.00,0.0006
202,99937.00,0.0006
203,99937.00,0.0006
204,99937.00,0.0006
205,99937.00,0.0006
206,99937.00,0.0005
207,99945.99,0.0004
208,99959.49,0.0002
209,99978.98,0.0002
210,99978.98,0.0002
211,99978.98,0.0002
212,99978.98,0.0002
213,99978.98,0.0002
214,99978.98,0.0002
215,99978.98,0.0002
216,99978.98,0.0002
217,99978.98,0.0002
218,99978.98,0.0002
219,99978.98,0.0002
220,99978.98,0.0001
221,99986.24,0.0005
222,99953.50,0.0004
223,99964.73,0.0004
224,99964.73,0.0004
225,99964.73,0.0004
226,99964.73,0.0007
227,99930.29,0.0009
228,99912.33,0.0008
229,99923.56,0.0008
230,99923.56,0.0008
231,99923.58,0.0009
232,99912.37,0.0008
233,99918.34,0.0008
234,99916.84,0.0010
235,99903.38,0.0011
236,99891.04,0.0012
237,99880.94,0.0012
238,99878.70,0.0014
239,99858.51,0.0014
240,99858.51,0.0012
241,99879.44,0.0011
242,99888.41,0.0012
243,99877.94,0.0012
244,99877.94,0.0012
245,99884.13,0.0010
246,99901.87,0.0010
247,99895.89,0.0010
248,99895.89,0.0010
249,99895.89,0.0010
250,99895.89,0.0010
251,99895.89,0.0010
252,99895.89,0.0010
253,99895.89,0.0006
254,99942.18,0.0005
255,99954.16,0.0007
256,99933.20,0.0007
257,99933.20,0.0008
258,99924.97,0.0006
259,99935.83,0.0005
260,99948.91,0.0005
261,99948.91,0.0005
262,99948.91,0.0005
263,99948.91,0.0005
264,99948.91,0.0005
265,99948.91,0.0005
266,99948.91,0.0005
267,99948.91,0.0005
268,99948.91,0.0005
269,99948.91,0.0005
270,99948.91,0.0005
271,99948.91,0.0005
272,99948.91,0.0005
273,99948.91,0.0005
274,99948.91,0.0008
275,99920.86,0.0011
276,99892.83,0.0011
277,99892.83,0.0011
278,99892.83,0.0012
279,99881.62,0.0014
280,99856.96,0.0012
281,99877.35,0.0012
282,99876.44,0.0013
283,99865.25,0.0015
284,99845.82,0.0015
285,99845.82,0.0017
286,99830.14,0.0019
287,99814.47,0.0019
288,99809.97,0.0018
