ts_nyt_epoch,open,high,low,close,volume
1759508880,672.34,672.6,672.27,672.51,96669
1759508940,672.5,672.82,672.48,672.77,86375
1759509000,672.77,672.83,672.76,672.8,97629
1759509060,672.81,673.04,672.77,672.99,72273
1759509120,673.01,673.04,672.94,672.95,90556
1759509180,672.92,673.13,672.89,673.07,119282
1759509240,673.09,673.22,673.0,673.13,90055
1759509300,673.12,673.14,672.89,673.0,118715
1759509360,672.99,673.38,672.91,673.37,97729
1759509420,673.37,673.57,673.35,673.41,102684
1759509480,673.43,673.58,673.38,673.48,102980
1759509540,673.49,673.62,673.48,673.62,106952
1759509600,673.62,673.95,673.55,673.93,120538
1759509660,673.94,673.95,673.82,673.85,96675
1759509720,673.87,673.99,673.68,673.69,97594
1759509780,673.71,673.83,673.49,673.49,108245
1759509840,673.49,673.69,673.41,673.67,143793
1759509900,673.66,673.69,673.33,673.39,121109
1759509960,673.38,673.52,673.36,673.43,121651
1759510020,673.43,673.56,673.4,673.49,134657
1759510080,673.51,673.64,673.47,673.55,119813
1759510140,673.57,673.86,673.53,673.85,111638
1759510200,673.84,674.36,673.71,674.3,116204
1759510260,674.3,674.52,674.26,674.44,109440
1759510320,674.43,674.49,674.37,674.45,116274
1759510380,674.44,674.64,674.44,674.56,122308
1759510440,674.54,675.1,674.51,675.04,122935
1759510500,675.03,675.36,675.0,675.24,143079
1759510560,675.23,675.59,675.22,675.46,105141
1759510620,675.42,675.52,675.21,675.23,98346
1759510680,675.23,675.35,675.03,675.1,70078
1759510740,675.1,675.22,675.01,675.07,50000
1759510800,675.08,675.14,674.88,674.89,89619
1759510860,674.9,675.12,674.85,675.1,68715
1759510920,675.08,675.16,674.94,674.95,55856
1759510980,674.95,675.05,674.89,674.89,89574
1759511040,674.88,674.93,674.72,674.73,76365
1759511100,674.74,674.93,674.71,674.92,63409
1759511160,674.9,675.21,674.83,675.17,84231
1759511220,675.18,675.47,675.09,675.45,77647
1759511280,675.44,675.51,675.31,675.33,53499
1759511340,675.35,675.41,675.1,675.13,71470
1759511400,675.12,675.12,675.01,675.08,62318
1759511460,675.07,675.36,674.96,675.26,98974
1759511520,675.24,675.25,674.75,674.82,73803
1759511580,674.83,675.15,674.76,675.11,79514
1759511640,675.11,675.27,675.1,675.23,56737
1759511700,675.23,675.36,675.18,675.35,53784
